"Accuracy"	"Kappa"	"AccuracyLower"	"AccuracyUpper"	"AccuracyNull"	"AccuracyPValue"	"McnemarPValue"	"method"
"1"	0.606805293005671	0.504975795857403	0.56373336485488	0.648677027167575	0.489603024574669	4.0657957709884e-08	NA	"LOG"
"2"	0.835849056603774	0.768983346359646	0.801515570803206	0.866381849569058	0.488679245283019	2.65763405577172e-62	NA	"QN"
"3"	0.839319470699433	0.774436278813113	0.805199739427613	0.869590641468115	0.487712665406427	7.64819049878383e-64	NA	"TDM"
"4"	0.858490566037736	0.799686553550461	0.825874997706643	0.8870398916857	0.430188679245283	3.88651671991728e-93	NA	"MA"
